,lon,lat,ele,sun,hum,pre,rai,N,cod
962,72.7811111111,-6.2325,2500,0,0,6,3,2,24030850
963,72.8666666667,-6.10055555556,2800,0,0,2,3,2,24030860
964,72.9077777778,-5.75583333333,2500,0,0,2,6,2,24030940
965,72.7297222222,-6.70638888889,2237,0,0,6,3,2,24030950
966,72.9833333333,-5.81666666667,2500,0,0,2,4,2,24031040
967,72.5452777778,-6.24527777778,2950,0,1,2,6,3,24035010
968,72.8105555556,-5.90722222222,2575,0,1,2,6,3,24035020
969,73.2077777778,-5.57944444444,2700,5,1,2,6,4,24035040
970,72.4091666667,-6.46333333333,2963,0,1,11,3,3,24035070
971,73.0744444444,-5.80222222222,2485,5,2,2,3,4,24035120
972,73.3552777778,-5.55333333333,2690,5,2,2,6,4,24035130
973,72.9666666667,-5.68333333333,2500,0,0,2,6,2,24035140
974,72.8905555556,-5.77861111111,2530,5,2,2,6,4,24035150
